date,region,product,units_sold,revenue,returns
2026-01-11,East,A,110,9707.33,3
2026-01-11,East,B,73,9533.85,3
2026-01-11,East,C,54,7585.98,1
2026-01-12,North,A,115,10248.11,5
2026-01-12,North,B,91,11295.38,1
2026-01-12,North,C,73,10957.98,1
2026-01-12,South,A,96,9555.52,2
2026-01-12,South,B,81,9504.16,1
2026-01-12,South,C,70,9537.66,1
2026-01-12,East,A,75,7661.49,3
2026-01-12,East,B,77,9509.73,1
2026-01-12,East,C,57,8435.49,2
2026-01-13,North,A,112,10220.25,4
2026-01-13,North,B,84,10561.48,4
2026-01-13,North,C,64,9210.05,1
2026-01-13,South,A,101,9836.19,1
2026-01-13,South,B,80,9004.93,3
2026-01-13,South,C,65,9421.37,3
2026-01-13,East,A,90,8904.46,3
2026-01-13,East,B,83,10204.74,2
2026-01-13,East,C,70,10425.11,1
2026-01-14,North,A,121,11822.02,4
2026-01-14,North,B,93,10619.23,3
2026-01-14,North,C,66,9770.14,2
2026-01-14,South,A,111,10720.56,4
2026-01-14,South,B,82,9925.54,3
2026-01-14,South,C,72,10429.57,2
2026-01-14,East,A,95,8968.74,4
2026-01-14,East,B,76,8856.2,2
2026-01-14,East,C,57,8388.05,1
2026-01-15,North,A,121,11925.52,3
2026-01-15,North,B,89,10150.44,1
2026-01-15,North,C,61,8929.85,1
2026-01-15,South,A,97,8610.31,4
2026-01-15,South,B,100,11498.2,3
2026-01-15,South,C,58,8459.41,1
2026-01-15,East,A,100,9804.02,2
2026-01-15,East,B,82,9118.41,3
2026-01-15,East,C,67,10424.36,2
2026-01-16,North,A,125,11850.82,3
2026-01-16,North,B,89,10791.84,1
2026-01-16,North,C,64,9198.9,2
2026-01-16,South,A,83,7757.53,3
2026-01-16,South,B,86,10101.35,3
2026-01-16,South,C,68,10145.79,1
2026-01-16,East,A,97,9422.27,4
2026-01-16,East,B,76,8576.42,3
2026-01-16,East,C,55,7778.35,1
2026-01-17,North,A,111,10303.81,2
2026-01-17,North,B,99,12117.23,4
2026-01-17,North,C,76,10555.94,1
2026-01-17,South,A,105,9975.3,5
2026-01-17,South,B,94,11201.26,4
2026-01-17,South,C,54,7398.97,2
2026-01-17,East,A,100,9026.38,3
2026-01-17,East,B,79,8719.14,2
2026-01-17,East,C,70,9723.57,1
2026-01-18,North,A,101,9299.32,4
2026-01-18,North,B,94,11026.14,4
2026-01-18,North,C,80,11211.26,3
2026-01-18,South,A,110,10320.43,1
2026-01-18,South,B,78,8763.66,3
2026-01-18,South,C,63,9113.12,1
2026-01-18,East,A,90,8420.33,1
2026-01-18,East,B,79,9493.96,2
2026-01-18,East,C,59,8069.49,2
2026-01-19,North,A,127,11665.16,4
2026-01-19,North,B,90,10929.52,1
2026-01-19,North,C,77,10646.47,3
2026-01-19,South,A,121,11673.65,2
2026-01-19,South,B,89,9781.83,3
2026-01-19,South,C,68,10064.49,1
2026-01-19,East,A,107,10861.25,1
2026-01-19,East,B,72,8905.69,2
2026-01-19,East,C,53,7235.76,1
2026-01-20,North,A,112,10367.93,5
2026-01-20,North,B,89,10751.79,3
2026-01-20,North,C,69,10447.07,1
2026-01-20,South,A,124,12003.71,5
2026-01-20,South,B,91,11420.96,3
2026-01-20,South,C,65,9871.42,1
2026-01-20,East,A,91,8496.89,2
2026-01-20,East,B,84,9413.3,1
2026-01-20,East,C,50,7221.71,1
2026-01-21,North,A,123,11807.9,3
2026-01-21,North,B,100,11425.69,2
2026-01-21,North,C,72,10435.06,1
2026-01-21,South,A,95,9429.02,3
2026-01-21,South,B,75,8940.32,3
2026-01-21,South,C,67,9009.17,2
2026-01-21,East,A,88,8724.76,4
2026-01-21,East,B,71,8681.83,1
2026-01-21,East,C,64,9586.28,1
2026-01-22,North,A,120,11291.32,4
2026-01-22,North,B,100,11504.6,4
2026-01-22,North,C,74,10992.9,1
2026-01-22,South,A,101,9412.53,4
2026-01-22,South,B,78,9859.11,2
2026-01-22,South,C,63,9415.46,2
2026-01-22,East,A,105,10415.17,1
2026-01-22,East,B,80,9751.27,1
2026-01-22,East,C,55,8253.63,1
2026-01-23,North,A,116,11053.59,2
2026-01-23,North,B,85,10500.14,4
2026-01-23,North,C,73,11623.48,2
2026-01-23,South,A,104,9668.38,3
2026-01-23,South,B,78,9287.87,2
2026-01-23,South,C,70,9320.8,1
2026-01-23,East,A,103,10472.4,2
2026-01-23,East,B,73,8826.1,2
2026-01-23,East,C,68,9692.31,3
2026-01-24,North,A,110,10472.57,4
2026-01-24,North,B,95,11234.92,4
2026-01-24,North,C,71,10164.72,3
2026-01-24,South,A,100,9440.13,3
2026-01-24,South,B,73,8492.97,2
2026-01-24,South,C,74,10595.57,2
2026-01-24,East,A,87,7858.16,3
2026-01-24,East,B,76,9945.6,1
2026-01-24,East,C,71,10962.64,3
2026-01-25,North,A,115,12453.22,3
2026-01-25,North,B,88,10337.84,2
2026-01-25,North,C,79,11604.46,1
2026-01-25,South,A,107,9428.35,5
2026-01-25,South,B,79,9776.82,3
2026-01-25,South,C,64,9001.12,2
2026-01-25,East,A,91,8998.1,2
2026-01-25,East,B,83,9182.26,1
2026-01-25,East,C,62,9047.82,3
2026-01-26,North,A,115,10182.2,5
2026-01-26,North,B,85,10965.74,2
2026-01-26,North,C,59,8010.6,2
2026-01-26,South,A,101,9787.4,4
2026-01-26,South,B,81,9689.27,2
2026-01-26,South,C,70,9810.7,1
2026-01-26,East,A,91,8941.06,1
2026-01-26,East,B,79,8964.05,2
2026-01-26,East,C,65,9889.04,3
2026-01-27,North,A,126,12640.64,2
2026-01-27,North,B,91,10563.48,3
2026-01-27,North,C,73,10457.74,2
2026-01-27,South,A,102,10094.61,4
2026-01-27,South,B,94,10971.61,3
2026-01-27,South,C,62,9411.5,1
2026-01-27,East,A,97,9612.82,3
2026-01-27,East,B,80,9687.03,4
2026-01-27,East,C,64,8485.71,1
2026-01-28,North,A,118,11191.66,3
2026-01-28,North,B,89,10570.08,3
2026-01-28,North,C,83,11125.42,3
2026-01-28,South,A,104,9487.79,1
2026-01-28,South,B,92,11268.64,3
2026-01-28,South,C,69,9251.27,2
2026-01-28,East,A,104,9362.42,3
2026-01-28,East,B,81,9926.49,3
2026-01-28,East,C,64,9098.77,3
2026-01-29,North,A,111,10834.28,5
2026-01-29,North,B,106,12419.3,3
2026-01-29,North,C,78,11275.01,2
2026-01-29,South,A,104,9968.42,3
2026-01-29,South,B,86,10921.38,3
2026-01-29,South,C,72,10316.9,1
2026-01-29,East,A,91,8163.53,3
2026-01-29,East,B,78,9422.97,2
2026-01-29,East,C,64,9028.54,2
2026-01-30,North,A,94,8020.79,2
2026-01-30,North,B,93,11797.77,2
2026-01-30,North,C,71,10433.79,3
2026-01-30,South,A,112,11106.84,4
2026-01-30,South,B,79,9675.73,3
2026-01-30,South,C,64,9235.33,3
2026-01-30,East,A,88,7758.81,3
2026-01-30,East,B,79,9037.59,1
2026-01-30,East,C,63,9269.51,2
2026-01-31,North,A,112,10828.1,4
2026-01-31,North,B,88,10580.94,3
2026-01-31,North,C,82,12080.06,1
2026-01-31,South,A,102,9085.27,2
2026-01-31,South,B,94,10938.24,4
2026-01-31,South,C,69,10390.72,1
2026-01-31,East,A,96,8645.64,4
2026-01-31,East,B,82,9696.13,2
2026-01-31,East,C,66,9167.62,3
2026-02-01,North,A,112,11307.09,5
2026-02-01,North,B,102,12543.5,1
2026-02-01,North,C,76,11349.44,3
2026-02-01,South,A,97,9652.41,4
2026-02-01,South,B,83,9883.38,1
2026-02-01,South,C,68,9993.6,2
2026-02-01,East,A,87,8664.19,2
2026-02-01,East,B,76,9383.95,3
2026-02-01,East,C,61,8378.68,2
2026-02-02,North,A,110,10776.2,3
2026-02-02,North,B,102,12503.67,3
2026-02-02,North,C,73,9687.0,1
2026-02-02,South,A,99,9529.56,1
2026-02-02,South,B,82,10470.61,2
2026-02-02,South,C,73,10616.98,2
2026-02-02,East,A,96,9388.2,4
2026-02-02,East,B,69,8364.93,1
2026-02-02,East,C,54,7499.97,2
2026-02-03,North,A,129,12708.76,4
2026-02-03,North,B,78,9213.63,3
2026-02-03,North,C,64,9216.68,1
2026-02-03,South,A,107,10742.59,4
2026-02-03,South,B,89,10588.16,4
2026-02-03,South,C,69,10157.25,2
2026-02-03,East,A,102,9684.35,2
2026-02-03,East,B,90,10714.95,2
2026-02-03,East,C,56,8120.33,1
2026-02-04,North,A,111,10092.16,3
2026-02-04,North,B,86,10551.4,3
2026-02-04,North,C,70,9510.18,1
2026-02-04,South,A,92,8397.37,1
2026-02-04,South,B,94,11539.7,3
2026-02-04,South,C,71,10806.98,2
2026-02-04,East,A,90,8754.78,1
2026-02-04,East,B,70,8426.39,2
2026-02-04,East,C,57,8631.4,1
2026-02-05,North,A,126,11315.95,3
2026-02-05,North,B,88,10645.53,4
2026-02-05,North,C,62,8517.05,2
2026-02-05,South,A,116,11289.5,3
2026-02-05,South,B,80,9710.3,1
2026-02-05,South,C,64,9075.49,1
2026-02-05,East,A,91,8515.4,4
2026-02-05,East,B,81,9841.4,1
2026-02-05,East,C,68,10008.73,2
2026-02-06,North,A,112,11798.58,3
2026-02-06,North,B,90,9777.04,2
2026-02-06,North,C,77,11646.14,2
2026-02-06,South,A,103,10280.85,2
2026-02-06,South,B,81,8789.57,2
2026-02-06,South,C,71,9601.49,1
2026-02-06,East,A,87,7498.7,3
2026-02-06,East,B,82,8937.43,3
2026-02-06,East,C,67,9633.91,1
2026-02-07,North,A,119,11259.46,2
2026-02-07,North,B,105,13272.25,3
2026-02-07,North,C,79,11465.57,2
2026-02-07,South,A,90,9274.91,3
2026-02-07,South,B,73,9257.41,2
2026-02-07,South,C,61,8536.5,2
2026-02-07,East,A,108,10977.32,4
2026-02-07,East,B,76,9311.3,1
2026-02-07,East,C,58,8655.94,1
2026-02-08,North,A,105,10207.37,1
2026-02-08,North,B,95,11216.14,4
2026-02-08,North,C,75,10577.46,2
2026-02-08,South,A,100,9953.28,4
2026-02-08,South,B,90,11225.75,4
2026-02-08,South,C,74,10676.77,3
2026-02-08,East,A,100,8802.28,1
2026-02-08,East,B,79,9502.51,3
2026-02-08,East,C,68,8659.03,2
2026-02-09,North,A,109,10619.58,1
2026-02-09,North,B,83,9415.9,4
2026-02-09,North,C,81,12311.81,1
2026-02-09,South,A,117,11421.87,5
2026-02-09,South,B,74,8972.19,1
2026-02-09,South,C,64,9679.91,3
2026-02-09,East,A,98,9476.44,4
2026-02-09,East,B,90,10934.45,2
2026-02-09,East,C,56,8535.56,2
2026-02-10,North,A,111,10339.21,2
2026-02-10,North,B,101,11583.58,3
2026-02-10,North,C,77,11166.92,3
2026-02-10,South,A,94,8785.85,3
2026-02-10,South,B,83,8976.8,2
2026-02-10,South,C,72,10567.3,2
2026-02-10,East,A,104,9969.7,5
2026-02-10,East,B,85,9657.98,1
2026-02-10,East,C,63,8836.02,2
2026-02-11,North,A,109,10185.62,2
2026-02-11,North,B,93,10721.2,2
2026-02-11,North,C,74,10393.46,3
2026-02-11,South,A,90,8297.64,1
2026-02-11,South,B,91,9949.79,4
2026-02-11,South,C,65,9170.79,1
2026-02-11,East,A,105,10457.48,4
2026-02-11,East,B,78,8937.05,2
2026-02-11,East,C,54,8054.54,1
2026-02-12,North,A,110,10121.35,1
2026-02-12,North,B,82,9221.81,3
2026-02-12,North,C,65,8910.81,1
2026-02-12,South,A,104,10185.8,2
2026-02-12,South,B,83,10161.36,1
2026-02-12,South,C,69,9393.1,1
2026-02-12,East,A,94,9100.18,3
2026-02-12,East,B,64,6652.36,3
2026-02-12,East,C,59,8602.68,1
2026-02-13,North,A,108,10612.12,3
2026-02-13,North,B,92,10543.88,1
2026-02-13,North,C,66,8724.37,3
2026-02-13,South,A,113,10804.07,3
2026-02-13,South,B,82,9672.05,2
2026-02-13,South,C,61,9056.77,1
2026-02-13,East,A,87,7936.46,3
2026-02-13,East,B,72,9101.12,3
2026-02-13,East,C,59,8243.57,2
2026-02-14,North,A,99,9497.85,4
2026-02-14,North,B,91,10373.61,2
2026-02-14,North,C,70,9847.19,3
2026-02-14,South,A,90,9320.85,4
2026-02-14,South,B,85,10392.24,3
2026-02-14,South,C,62,8495.02,1
2026-02-14,East,A,99,9589.8,3
2026-02-14,East,B,67,7741.82,3
2026-02-14,East,C,62,9075.06,1
2026-02-15,North,A,99,9671.16,3
2026-02-15,North,B,79,10190.99,2
2026-02-15,North,C,72,9881.29,1
2026-02-15,South,A,98,9626.7,4
2026-02-15,South,B,86,9900.19,2
2026-02-15,South,C,61,9046.18,2
2026-02-15,East,A,100,9633.22,4
2026-02-15,East,B,84,10852.06,2
2026-02-15,East,C,55,7743.8,2
2026-02-16,North,A,118,11491.17,5
2026-02-16,North,B,87,10407.11,3
2026-02-16,North,C,68,9576.18,2
2026-02-16,South,A,99,9379.53,4
2026-02-16,South,B,78,9736.95,3
2026-02-16,South,C,64,9583.77,3
2026-02-16,East,A,97,9738.61,2
2026-02-16,East,B,74,9270.38,1
2026-02-16,East,C,60,8452.21,2
2026-02-17,North,A,107,9907.77,2
2026-02-17,North,B,87,10948.06,3
2026-02-17,North,C,66,9361.67,2
2026-02-17,South,A,95,8919.14,2
2026-02-17,South,B,78,9677.77,3
2026-02-17,South,C,62,8694.72,3
2026-02-17,East,A,87,8672.47,3
2026-02-17,East,B,89,10997.46,4
2026-02-17,East,C,57,7454.79,2
2026-02-18,North,A,124,12062.77,2
2026-02-18,North,B,87,9358.82,3
2026-02-18,North,C,69,9587.19,3
2026-02-18,South,A,95,8932.47,1
2026-02-18,South,B,72,9550.93,1
2026-02-18,South,C,65,8936.08,2
2026-02-18,East,A,91,8448.65,3
2026-02-18,East,B,66,8209.37,2
2026-02-18,East,C,58,8177.33,1
2026-02-19,North,A,120,10677.77,4
2026-02-19,North,B,83,10423.72,2
2026-02-19,North,C,75,10399.71,2
2026-02-19,South,A,94,9384.12,3
2026-02-19,South,B,96,11429.5,3
2026-02-19,South,C,60,8193.72,2
2026-02-19,East,A,89,9098.76,2
2026-02-19,East,B,91,11037.81,3
2026-02-19,East,C,59,9023.91,2
2026-02-20,North,A,109,10548.35,3
2026-02-20,North,B,98,12220.27,3
2026-02-20,North,C,64,9612.43,3
2026-02-20,South,A,86,8776.8,1
2026-02-20,South,B,81,9672.22,3
2026-02-20,South,C,62,8829.93,3
2026-02-20,East,A,87,8391.83,3
2026-02-20,East,B,71,7775.23,3
2026-02-20,East,C,58,8448.61,3
2026-02-21,North,A,90,8791.25,2
2026-02-21,North,B,84,9980.94,2
2026-02-21,North,C,68,9753.99,1
2026-02-21,South,A,103,9840.46,3
2026-02-21,South,B,90,10281.32,3
2026-02-21,South,C,64,9489.32,2
2026-02-21,East,A,90,8464.26,3
2026-02-21,East,B,68,8278.32,1
2026-02-21,East,C,51,6850.75,2
2026-02-22,North,A,97,9907.74,2
2026-02-22,North,B,89,11136.17,1
2026-02-22,North,C,65,10088.61,1
2026-02-22,South,A,87,8071.98,1
2026-02-22,South,B,87,10153.62,1
2026-02-22,South,C,67,9687.43,1
2026-02-22,East,A,85,7672.4,4
2026-02-22,East,B,63,8172.43,1
2026-02-22,East,C,50,7844.35,2
2026-02-23,North,A,107,10420.45,3
2026-02-23,North,B,88,10482.19,1
2026-02-23,North,C,65,8579.12,1
2026-02-23,South,A,93,9103.65,2
2026-02-23,South,B,73,8766.06,3
2026-02-23,South,C,63,8395.17,1
2026-02-23,East,A,90,8427.98,4
2026-02-23,East,B,76,8476.71,2
2026-02-23,East,C,44,6608.64,1
2026-02-24,North,A,93,9576.44,4
2026-02-24,North,B,94,10800.39,4
2026-02-24,North,C,63,9406.14,1
2026-02-24,South,A,94,9084.66,2
2026-02-24,South,B,90,10465.95,2
2026-02-24,South,C,59,8221.11,2
2026-02-24,East,A,73,6756.97,2
2026-02-24,East,B,67,8910.46,2
2026-02-24,East,C,59,8415.65,2
2026-02-25,North,A,97,8959.87,3
2026-02-25,North,B,82,9310.72,1
2026-02-25,North,C,67,9658.47,1
2026-02-25,South,A,96,9519.45,3
2026-02-25,South,B,78,10302.48,2
2026-02-25,South,C,67,10038.39,1
2026-02-25,East,A,92,8735.19,2
2026-02-25,East,B,71,8367.84,2
2026-02-25,East,C,54,7454.38,2
2026-02-26,North,A,110,11351.33,4
2026-02-26,North,B,89,10390.68,4
2026-02-26,North,C,80,11680.63,2
2026-02-26,South,A,99,10012.2,1
2026-02-26,South,B,72,8577.09,2
2026-02-26,South,C,72,10386.0,3
2026-02-26,East,A,89,8343.72,2
2026-02-26,East,B,75,8749.39,1
2026-02-26,East,C,57,7551.93,1
2026-02-27,North,A,83,7906.56,4
2026-02-27,North,B,83,9984.18,2
2026-02-27,North,C,72,10568.65,2
2026-02-27,South,A,99,9840.87,3
2026-02-27,South,B,74,8670.03,2
2026-02-27,South,C,65,8692.31,1
2026-02-27,East,A,79,8603.92,3
2026-02-27,East,B,73,8388.69,2
2026-02-27,East,C,55,7385.06,1
2026-02-28,North,A,107,10144.67,2
2026-02-28,North,B,92,11700.37,2
2026-02-28,North,C,66,9134.91,1
2026-02-28,South,A,97,9538.75,2
2026-02-28,South,B,65,8024.63,1
2026-02-28,South,C,57,8319.89,2
2026-02-28,East,A,87,8146.37,3
2026-02-28,East,B,73,8547.95,2
2026-02-28,East,C,58,8386.81,2
2026-03-01,North,A,89,8265.67,1
2026-03-01,North,B,81,9998.48,3
2026-03-01,North,C,76,10321.91,1
2026-03-01,South,A,99,10181.04,2
2026-03-01,South,B,82,9923.14,2
2026-03-01,South,C,64,9453.03,2
2026-03-01,East,A,82,8023.29,1
2026-03-01,East,B,85,10294.01,3
2026-03-01,East,C,57,7782.32,3
2026-03-02,North,A,98,9773.0,2
2026-03-02,North,B,88,10451.08,4
2026-03-02,North,C,82,11449.39,1
2026-03-02,South,A,89,8212.98,2
2026-03-02,South,B,78,8959.29,3
2026-03-02,South,C,64,9567.24,2
2026-03-02,East,A,92,8712.22,1
2026-03-02,East,B,79,9694.95,1
2026-03-02,East,C,70,9467.94,1
2026-03-03,North,A,97,9250.85,2
2026-03-03,North,B,88,10958.53,1
2026-03-03,North,C,71,10842.33,2
2026-03-03,South,A,82,7115.33,3
2026-03-03,South,B,78,10168.93,2
2026-03-03,South,C,66,9507.46,1
2026-03-03,East,A,89,8704.48,3
2026-03-03,East,B,71,8466.82,3
2026-03-03,East,C,57,8456.38,2
2026-03-04,North,A,100,9565.28,3
2026-03-04,North,B,91,10950.75,1
2026-03-04,North,C,63,9358.01,2
2026-03-04,South,A,91,8494.57,3
2026-03-04,South,B,79,8855.01,1
2026-03-04,South,C,63,9996.97,2
2026-03-04,East,A,91,8559.35,3
2026-03-04,East,B,66,8177.03,2
2026-03-04,East,C,53,8098.16,2
2026-03-05,North,A,92,9128.2,1
2026-03-05,North,B,74,9200.4,3
2026-03-05,North,C,62,8943.62,2
2026-03-05,South,A,104,10247.6,3
2026-03-05,South,B,85,9041.06,1
2026-03-05,South,C,63,9469.07,1
2026-03-05,East,A,92,8079.46,4
2026-03-05,East,B,74,9403.72,1
2026-03-05,East,C,57,7523.26,1
2026-03-06,North,A,99,9916.55,2
2026-03-06,North,B,93,11680.63,3
2026-03-06,North,C,71,10686.37,1
2026-03-06,South,A,99,10259.67,2
2026-03-06,South,B,86,11655.67,3
2026-03-06,South,C,60,8828.77,2
2026-03-06,East,A,68,6585.79,3
2026-03-06,East,B,83,10409.48,1
2026-03-06,East,C,61,9548.66,3
2026-03-07,North,A,108,10104.98,3
2026-03-07,North,B,100,12154.42,2
2026-03-07,North,C,74,9969.88,1
2026-03-07,South,A,79,7564.06,3
2026-03-07,South,B,73,9033.29,1
2026-03-07,South,C,60,9269.76,1
2026-03-07,East,A,95,9934.48,3
2026-03-07,East,B,60,7706.33,3
2026-03-07,East,C,56,8707.56,2
2026-03-08,North,A,109,10195.83,4
2026-03-08,North,B,77,9484.16,2
2026-03-08,North,C,74,10836.9,3
2026-03-08,South,A,93,9688.85,1
2026-03-08,South,B,85,9861.93,4
2026-03-08,South,C,57,8380.78,1
2026-03-08,East,A,85,8147.88,3
2026-03-08,East,B,72,8373.72,3
2026-03-08,East,C,50,7481.45,2
2026-03-09,North,A,91,8955.05,3
2026-03-09,North,B,72,8368.36,2
2026-03-09,North,C,63,8878.41,2
2026-03-09,South,A,91,8538.56,3
2026-03-09,South,B,80,9083.89,1
2026-03-09,South,C,64,8431.53,2
2026-03-09,East,A,81,7256.34,3
2026-03-09,East,B,78,9044.95,2
2026-03-09,East,C,60,7832.09,2
2026-03-10,North,A,117,11694.01,2
2026-03-10,North,B,100,11549.05,2
2026-03-10,North,C,59,8303.59,1
2026-03-10,South,A,94,8493.7,2
2026-03-10,South,B,85,9864.34,2
2026-03-10,South,C,57,8646.2,2
2026-03-10,East,A,85,8251.82,3
2026-03-10,East,B,69,8750.86,3
2026-03-10,East,C,55,8098.87,1
2026-03-11,North,A,89,8441.84,3
2026-03-11,North,B,84,10055.99,1
2026-03-11,North,C,65,9526.32,2
2026-03-11,South,A,92,9193.13,4
2026-03-11,South,B,73,8048.08,2
2026-03-11,South,C,66,10515.54,2
2026-03-11,East,A,89,8601.08,2
2026-03-11,East,B,72,9104.18,1
2026-03-11,East,C,58,8679.62,1
2026-03-12,North,A,111,11252.72,3
2026-03-12,North,B,85,9629.17,3
2026-03-12,North,C,71,10794.53,1
2026-03-12,South,A,105,10459.1,3
2026-03-12,South,B,84,9953.27,1
2026-03-12,South,C,63,8735.03,2
2026-03-12,East,A,88,8377.65,3
2026-03-12,East,B,71,8203.29,3
2026-03-12,East,C,66,9721.97,2
2026-03-13,North,A,114,11700.68,3
2026-03-13,North,B,87,10036.14,1
2026-03-13,North,C,63,8262.28,2
2026-03-13,South,A,101,9465.03,3
2026-03-13,South,B,84,9698.87,1
2026-03-13,South,C,73,10934.26,2
2026-03-13,East,A,87,7536.52,3
2026-03-13,East,B,70,8650.97,3
2026-03-13,East,C,64,8921.51,3
2026-03-14,North,A,119,10649.99,3
2026-03-14,North,B,89,10997.83,2
2026-03-14,North,C,72,10437.36,2
2026-03-14,South,A,99,9238.06,2
2026-03-14,South,B,88,11192.19,3
2026-03-14,South,C,64,9248.31,3
2026-03-14,East,A,98,9374.19,4
2026-03-14,East,B,85,10524.1,3
2026-03-14,East,C,53,7434.37,2
2026-03-15,North,A,114,11747.04,3
2026-03-15,North,B,87,10326.11,3
2026-03-15,North,C,67,9528.12,2
2026-03-15,South,A,103,9795.11,3
2026-03-15,South,B,75,9292.31,3
2026-03-15,South,C,71,10111.48,3
2026-03-15,East,A,90,8533.88,3
2026-03-15,East,B,81,9566.93,2
2026-03-15,East,C,53,7708.92,2
2026-03-16,North,A,115,11384.53,5
2026-03-16,North,B,82,9782.96,3
2026-03-16,North,C,63,9046.09,1
2026-03-16,South,A,93,9560.52,2
2026-03-16,South,B,67,7572.75,2
2026-03-16,South,C,60,8692.13,2
2026-03-16,East,A,92,8719.49,1
2026-03-16,East,B,64,7528.96,2
2026-03-16,East,C,56,8205.43,2
2026-03-17,North,A,118,11739.22,2
2026-03-17,North,B,89,10682.9,1
2026-03-17,North,C,71,10419.48,2
2026-03-17,South,A,92,9092.89,3
2026-03-17,South,B,78,8934.31,3
2026-03-17,South,C,58,7982.57,2
2026-03-17,East,A,95,9033.45,3
2026-03-17,East,B,68,8103.47,1
2026-03-17,East,C,63,9057.17,2
2026-03-18,North,A,82,8061.76,3
2026-03-18,North,B,92,10374.99,3
2026-03-18,North,C,69,10192.37,1
2026-03-18,South,A,89,8827.2,2
2026-03-18,South,B,81,9444.5,3
2026-03-18,South,C,62,8294.07,2
2026-03-18,East,A,80,7337.49,3
2026-03-18,East,B,71,8323.49,3
2026-03-18,East,C,64,9769.44,1
2026-03-19,North,A,91,9220.42,1
2026-03-19,North,B,84,10736.78,1
2026-03-19,North,C,67,9639.09,2
2026-03-19,South,A,88,8244.56,3
2026-03-19,South,B,86,9366.1,3
