date,product,price,conversion_rate
2026-01-28,B,125,0.0386
2026-01-28,C,150,0.0349
2026-01-29,A,100,0.0441
2026-01-29,B,125,0.0431
2026-01-29,C,150,0.0336
2026-01-30,A,100,0.0433
2026-01-30,B,125,0.0412
2026-01-30,C,150,0.0345
2026-01-31,A,100,0.0436
2026-01-31,B,125,0.0418
2026-01-31,C,150,0.0326
2026-02-01,A,100,0.0443
2026-02-01,B,125,0.0402
2026-02-01,C,150,0.036
2026-02-02,A,100,0.0481
2026-02-02,B,125,0.0426
2026-02-02,C,150,0.0348
2026-02-03,A,100,0.0421
2026-02-03,B,125,0.0416
2026-02-03,C,150,0.0368
2026-02-04,A,100,0.048
2026-02-04,B,125,0.0417
2026-02-04,C,150,0.0335
2026-02-05,A,100,0.0452
2026-02-05,B,125,0.0438
2026-02-05,C,150,0.0333
2026-02-06,A,100,0.0442
2026-02-06,B,125,0.0424
2026-02-06,C,150,0.0345
2026-02-07,A,100,0.0441
2026-02-07,B,125,0.0432
2026-02-07,C,150,0.0356
2026-02-08,A,100,0.0454
2026-02-08,B,125,0.0394
2026-02-08,C,150,0.0375
2026-02-09,A,100,0.046
2026-02-09,B,125,0.043
2026-02-09,C,150,0.0361
2026-02-10,A,100,0.0452
2026-02-10,B,125,0.0403
2026-02-10,C,150,0.0368
2026-02-11,A,100,0.0484
2026-02-11,B,125,0.0383
2026-02-11,C,150,0.0357
2026-02-12,A,100,0.0458
2026-02-12,B,125,0.0395
2026-02-12,C,150,0.0353
2026-02-13,A,100,0.0438
2026-02-13,B,125,0.0403
2026-02-13,C,150,0.034
2026-02-14,A,100,0.0452
2026-02-14,B,125,0.0409
2026-02-14,C,150,0.0338
2026-02-15,A,100,0.0485
2026-02-15,B,125,0.0417
2026-02-15,C,150,0.0372
2026-02-16,A,100,0.0457
2026-02-16,B,125,0.0402
2026-02-16,C,150,0.0372
2026-02-17,A,100,0.0451
2026-02-17,B,125,0.0407
2026-02-17,C,150,0.0359
2026-02-18,A,100,0.044
2026-02-18,B,125,0.042
2026-02-18,C,150,0.0357
2026-02-19,A,100,0.048
2026-02-19,B,125,0.0423
2026-02-19,C,150,0.0366
2026-02-20,A,100,0.0458
2026-02-20,B,125,0.0398
2026-02-20,C,150,0.0376
2026-02-21,A,100,0.0435
2026-02-21,B,125,0.039
2026-02-21,C,150,0.0357
2026-02-22,A,100,0.0486
2026-02-22,B,125,0.0413
2026-02-22,C,150,0.0362
2026-02-23,A,100,0.0428
2026-02-23,B,125,0.0403
2026-02-23,C,150,0.0327
2026-02-24,A,100,0.0473
2026-02-24,B,125,0.0388
2026-02-24,C,150,0.0334
2026-02-25,A,100,0.0468
2026-02-25,B,125,0.0425
2026-02-25,C,150,0.0348
2026-02-26,A,100,0.0469
2026-02-26,B,125,0.0418
2026-02-26,C,150,0.0347
2026-02-27,A,100,0.0442
2026-02-27,B,125,0.0418
2026-02-27,C,150,0.0358
2026-02-28,A,100,0.0474
2026-02-28,B,125,0.0414
2026-02-28,C,150,0.0336
2026-03-01,A,100,0.0471
2026-03-01,B,125,0.041
2026-03-01,C,150,0.0344
2026-03-02,A,100,0.0455
2026-03-02,B,125,0.04
2026-03-02,C,150,0.0361
2026-03-03,A,100,0.0437
2026-03-03,B,125,0.0396
2026-03-03,C,150,0.0346
2026-03-04,A,100,0.0486
2026-03-04,B,125,0.0425
2026-03-04,C,150,0.033
2026-03-05,A,100,0.0482
2026-03-05,B,125,0.0429
2026-03-05,C,150,0.0336
2026-03-06,A,100,0.0419
2026-03-06,B,125,0.0409
2026-03-06,C,150,0.0364
2026-03-07,A,100,0.0486
2026-03-07,B,125,0.0398
2026-03-07,C,150,0.0371
2026-03-08,A,100,0.0424
2026-03-08,B,125,0.0405
2026-03-08,C,150,0.0345
2026-03-09,A,100,0.0479
2026-03-09,B,125,0.0429
2026-03-09,C,150,0.0362
2026-03-10,A,100,0.0438
2026-03-10,B,125,0.0422
2026-03-10,C,150,0.0356
2026-03-11,A,100,0.0433
2026-03-11,B,125,0.038
2026-03-11,C,150,0.0363
2026-03-12,A,100,0.0457
2026-03-12,B,125,0.0392
2026-03-12,C,150,0.0347
2026-03-13,A,100,0.0466
2026-03-13,B,125,0.0409
2026-03-13,C,150,0.0331
2026-03-14,A,100,0.049
2026-03-14,B,125,0.0424
2026-03-14,C,150,0.0346
2026-03-15,A,100,0.0455
2026-03-15,B,125,0.0415
2026-03-15,C,150,0.0336
2026-03-16,A,100,0.0465
2026-03-16,B,125,0.0391
2026-03-16,C,150,0.0349
2026-03-17,A,100,0.0441
2026-03-17,B,125,0.0394
2026-03-17,C,150,0.037
2026-03-18,A,100,0.0461
2026-03-18,B,125,0.0413
2026-03-18,C,150,0.0325
2026-03-19,A,100,0.045
2026-03-19,B,125,0.0417
2026-03-19,C,150,0.0352
2026-03-20,A,100,0.0425
2026-03-20,B,125,0.0413
2026-03-20,C,150,0.0354
2026-03-21,A,100,0.0481
2026-03-21,B,125,0.0401
2026-03-21,C,150,0.0323
2026-03-22,A,100,0.0444
2026-03-22,B,125,0.0394
2026-03-22,C,150,0.0359
2026-03-23,A,100,0.0416
2026-03-23,B,125,0.0404
2026-03-23,C,150,0.0367
2026-03-24,A,100,0.046
2026-03-24,B,125,0.0423
2026-03-24,C,150,0.033
2026-03-25,A,100,0.0434
2026-03-25,B,125,0.0431
2026-03-25,C,150,0.0351
2026-03-26,A,100,0.0462
2026-03-26,B,125,0.0394
2026-03-26,C,150,0.0351
2026-03-27,A,100,0.0442
2026-03-27,B,125,0.0427
2026-03-27,C,150,0.0383
2026-03-28,A,100,0.0468
2026-03-28,B,125,0.0401
2026-03-28,C,150,0.0319
2026-03-29,A,100,0.0433
2026-03-29,B,125,0.0432
2026-03-29,C,150,0.0337
2026-03-30,A,100,0.0454
2026-03-30,B,125,0.0419
2026-03-30,C,150,0.0368
2026-03-31,A,100,0.0457
2026-03-31,B,125,0.0404
2026-03-31,C,150,0.0351
2026-04-01,A,100,0.045
2026-04-01,B,125,0.0402
2026-04-01,C,150,0.0355
2026-04-02,A,100,0.0463
2026-04-02,B,125,0.0441
2026-04-02,C,150,0.0355
2026-04-03,A,100,0.0479
2026-04-03,B,125,0.0395
2026-04-03,C,150,0.0356
2026-04-04,A,100,0.0448
2026-04-04,B,125,0.0416
2026-04-04,C,150,0.0358
2026-04-05,A,100,0.0461
2026-04-05,B,125,0.0445
2026-04-05,C,150,0.0367
2026-04-06,A,100,0.0479
2026-04-06,B,125,0.0421
2026-04-06,C,150,0.0372
2026-04-07,A,100,0.0437
2026-04-07,B,125,0.043
2026-04-07,C,150,0.0338
2026-04-08,A,100,0.0451
2026-04-08,B,125,0.0418
2026-04-08,C,150,0.0365
2026-04-09,A,100,0.0441
2026-04-09,B,125,0.0403
2026-04-09,C,150,0.0351
2026-04-10,A,100,0.0457
2026-04-10,B,125,0.0422
2026-04-10,C,150,0.0392
2026-04-11,A,100,0.0467
2026-04-11,B,125,0.0399
2026-04-11,C,150,0.0334
2026-04-12,A,100,0.0455
2026-04-12,B,125,0.0397
2026-04-12,C,150,0.0356
2026-04-13,A,100,0.0467
2026-04-13,B,125,0.0403
2026-04-13,C,150,0.0374
2026-04-14,A,100,0.0448
2026-04-14,B,125,0.0408
2026-04-14,C,150,0.0358
2026-04-15,A,100,0.0474
2026-04-15,B,125,0.0428
2026-04-15,C,150,0.0355
2026-04-16,A,100,0.0477
2026-04-16,B,125,0.04
2026-04-16,C,150,0.0361
2026-04-17,A,100,0.0475
2026-04-17,B,125,0.0432
2026-04-17,C,150,0.033
2026-04-18,A,100,0.0445
2026-04-18,B,125,0.0422
2026-04-18,C,150,0.0318
2026-04-19,A,100,0.0468
2026-04-19,B,125,0.0425
2026-04-19,C,150,0.0343
2026-04-20,A,100,0.0453
2026-04-20,B,125,0.0395
2026-04-20,C,150,0.0344
2026-04-21,A,100,0.0452
2026-04-21,B,125,0.04
2026-04-21,C,150,0.0341
2026-04-22,A,100,0.0456
2026-04-22,B,125,0.0406
2026-04-22,C,150,0.0373
2026-04-23,A,100,0.0454
2026-04-23,B,125,0.0415
2026-04-23,C,150,0.0343
2026-04-24,A,100,0.0451
2026-04-24,B,125,0.0386
2026-04-24,C,150,0.0331
2026-04-25,A,100,0.0441
2026-04-25,B,125,0.0413
2026-04-25,C,150,0.0363
2026-04-26,A,100,0.0431
2026-04-26,B,125,0.0402
2026-04-26,C,150,0.0333
2026-04-27,A,100,0.0456
2026-04-27,B,125,0.0425
2026-04-27,C,150,0.0345
2026-04-28,A,100,0.0459
2026-04-28,B,125,0.0431
2026-04-28,C,150,0.0356
2026-04-29,A,100,0.0448
2026-04-29,B,125,0.0412
2026-04-29,C,150,0.034
2026-04-30,A,100,0.0467
2026-04-30,B,125,0.0417
2026-04-30,C,150,0.0333
2026-05-01,A,100,0.0463
2026-05-01,B,125,0.0408
2026-05-01,C,150,0.0357
2026-05-02,A,100,0.0473
2026-05-02,B,125,0.0417
2026-05-02,C,150,0.0346
2026-05-03,A,100,0.0475
2026-05-03,B,125,0.0397
2026-05-03,C,150,0.0334
2026-05-04,A,100,0.0409
2026-05-04,B,125,0.0409
2026-05-04,C,150,0.034
2026-05-05,A,100,0.0466
2026-05-05,B,125,0.0382
2026-05-05,C,150,0.0342
2026-05-06,A,100,0.0468
2026-05-06,B,125,0.0395
2026-05-06,C,150,0.0355
2026-05-07,A,100,0.0451
2026-05-07,B,125,0.041
2026-05-07,C,150,0.0357
2026-05-08,A,100,0.0475
2026-05-08,B,125,0.0411
2026-05-08,C,150,0.034
2026-05-09,A,100,0.0453
2026-05-09,B,125,0.0419
2026-05-09,C,150,0.0337
2026-05-10,A,100,0.0457
2026-05-10,B,125,0.0404
2026-05-10,C,150,0.0349
2026-05-11,A,100,0.0444
2026-05-11,B,125,0.0383
2026-05-11,C,150,0.0356
2026-05-12,A,100,0.0476
2026-05-12,B,125,0.0384
2026-05-12,C,150,0.0355
2026-05-13,A,100,0.0477
2026-05-13,B,125,0.0419
2026-05-13,C,150,0.0345
2026-05-14,A,100,0.0445
2026-05-14,B,125,0.0411
2026-05-14,C,150,0.0353
2026-05-15,A,100,0.0462
2026-05-15,B,125,0.0407
2026-05-15,C,150,0.0337
2026-05-16,A,100,0.0467
2026-05-16,B,125,0.0417
2026-05-16,C,150,0.0352
2026-05-17,A,100,0.0462
2026-05-17,B,125,0.0434
2026-05-17,C,150,0.0342
2026-05-18,A,100,0.0481
2026-05-18,B,125,0.0399
2026-05-18,C,150,0.0364
2026-05-19,A,100,0.048
2026-05-19,B,125,0.0406
2026-05-19,C,150,0.037
2026-05-20,A,100,0.0468
2026-05-20,B,125,0.0397
2026-05-20,C,150,0.0345
2026-05-21,A,100,0.0478
2026-05-21,B,125,0.0423
2026-05-21,C,150,0.0337
2026-05-22,A,100,0.0458
2026-05-22,B,125,0.0413
2026-05-22,C,150,0.0344
2026-05-23,A,100,0.0498
2026-05-23,B,125,0.0413
2026-05-23,C,150,0.0349
2026-05-24,A,100,0.0479
2026-05-24,B,125,0.0405
2026-05-24,C,150,0.0362
2026-05-25,A,100,0.0433
2026-05-25,B,125,0.0403
2026-05-25,C,150,0.0363
2026-05-26,A,100,0.0485
2026-05-26,B,125,0.0399
2026-05-26,C,150,0.0339
2026-05-27,A,100,0.0469
2026-05-27,B,125,0.0401
2026-05-27,C,150,0.0347
2026-05-28,A,100,0.0474
2026-05-28,B,125,0.0402
2026-05-28,C,150,0.0326
2026-05-29,A,100,0.0439
2026-05-29,B,125,0.041
2026-05-29,C,150,0.0327
2026-05-30,A,100,0.0455
2026-05-30,B,125,0.039
2026-05-30,C,150,0.037
2026-05-31,A,100,0.0495
2026-05-31,B,125,0.0395
2026-05-31,C,150,0.0353
2026-06-01,A,100,0.0445
2026-06-01,B,125,0.0406
2026-06-01,C,150,0.0372
2026-06-02,A,100,0.0452
2026-06-02,B,125,0.0406
2026-06-02,C,150,0.0338
2026-06-03,A,100,0.0478
2026-06-03,B,125,0.0363
2026-06-03,C,150,0.0345
2026-06-04,A,100,0.0459
2026-06-04,B,125,0.0401
2026-06-04,C,150,0.0361
2026-06-05,A,100,0.0479
2026-06-05,B,125,0.039
2026-06-05,C,150,0.0376
2026-06-06,A,100,0.0437
2026-06-06,B,125,0.0428
2026-06-06,C,150,0.0352
2026-06-07,A,100,0.0452
2026-06-07,B,125,0.0404
2026-06-07,C,150,0.035
2026-06-08,A,100,0.0463
2026-06-08,B,125,0.0397
2026-06-08,C,150,0.0347
2026-06-09,A,100,0.0448
2026-06-09,B,125,0.0393
2026-06-09,C,150,0.034
2026-06-10,A,100,0.0441
2026-06-10,B,125,0.0404
2026-06-10,C,150,0.0355
2026-06-11,A,100,0.0462
2026-06-11,B,125,0.0438
2026-06-11,C,150,0.0323
2026-06-12,A,100,0.0468
2026-06-12,B,125,0.041
2026-06-12,C,150,0.036
2026-06-13,A,100,0.0472
2026-06-13,B,125,0.0408
2026-06-13,C,150,0.0352
2026-06-14,A,100,0.0448
2026-06-14,B,125,0.0419
2026-06-14,C,150,0.0327
2026-06-15,A,100,0.0473
2026-06-15,B,125,0.041
2026-06-15,C,150,0.0344
2026-06-16,A,100,0.0456
2026-06-16,B,125,0.0408
2026-06-16,C,150,0.0366
2026-06-17,A,100,0.0512
2026-06-17,B,125,0.0428
2026-06-17,C,150,0.0343
2026-06-18,A,100,0.047
2026-06-18,B,125,0.042
2026-06-18,C,150,0.0339
2026-06-19,A,100,0.044
2026-06-19,B,125,0.0409
2026-06-19,C,150,0.036
2026-06-20,A,100,0.0434
2026-06-20,B,125,0.04
2026-06-20,C,150,0.0357
2026-06-21,A,100,0.0461
2026-06-21,B,125,0.043
2026-06-21,C,150,0.0333
2026-06-22,A,100,0.0498
2026-06-22,B,125,0.0388
2026-06-22,C,150,0.0325
2026-06-23,A,100,0.0459
2026-06-23,B,125,0.0394
2026-06-23,C,150,0.035
2026-06-24,A,100,0.0459
2026-06-24,B,125,0.0407
2026-06-24,C,150,0.034
2026-06-25,A,100,0.0467
2026-06-25,B,125,0.0405
2026-06-25,C,150,0.0364
2026-06-26,A,100,0.0457
2026-06-26,B,125,0.0396
2026-06-26,C,150,0.0329
2026-06-27,A,100,0.0457
2026-06-27,B,125,0.0392
2026-06-27,C,150,0.0333
2026-06-28,A,100,0.0468
2026-06-28,B,125,0.0384
2026-06-28,C,150,0.0367
2026-06-29,A,100,0.0463
2026-06-29,B,125,0.0409
2026-06-29,C,150,0.0337
2026-06-30,A,100,0.0472
2026-06-30,B,125,0.041
2026-06-30,C,150,0.0342
2026-07-01,A,100,0.0463
2026-07-01,B,125,0.0386
2026-07-01,C,150,0.033
2026-07-02,A,100,0.0442
2026-07-02,B,125,0.0415
2026-07-02,C,150,0.035
2026-07-03,A,100,0.0477
2026-07-03,B,125,0.0397
2026-07-03,C,150,0.0357
2026-07-04,A,100,0.0458
2026-07-04,B,125,0.0396
2026-07-04,C,150,0.0355
2026-07-05,A,100,0.0459
2026-07-05,B,125,0.0401
2026-07-05,C,150,0.0351
2026-07-06,A,100,0.0458
2026-07-06,B,125,0.0408
2026-07-06,C,150,0.0345
2026-07-07,A,100,0.0439
2026-07-07,B,125,0.0411
2026-07-07,C,150,0.034
2026-07-08,A,100,0.0444
2026-07-08,B,125,0.0407
2026-07-08,C,150,0.0359
2026-07-09,A,100,0.0463
2026-07-09,B,125,0.0402
2026-07-09,C,150,0.0343
2026-07-10,A,100,0.047
2026-07-10,B,125,0.0376
2026-07-10,C,150,0.036
2026-07-11,A,100,0.043
2026-07-11,B,125,0.039
2026-07-11,C,150,0.0344
2026-07-12,A,100,0.0495
2026-07-12,B,125,0.0434
2026-07-12,C,150,0.0359
2026-07-13,A,100,0.0466
2026-07-13,B,125,0.0383
2026-07-13,C,150,0.0352
2026-07-14,A,100,0.0451
2026-07-14,B,125,0.0398
2026-07-14,C,150,0.0352
2026-07-15,A,100,0.0452
2026-07-15,B,125,0.0422
2026-07-15,C,150,0.0326
2026-07-16,A,100,0.0461
2026-07-16,B,125,0.0397
2026-07-16,C,150,0.0345
2026-07-17,A,100,0.0465
2026-07-17,B,125,0.0394
2026-07-17,C,150,0.0352
2026-07-18,A,100,0.0457
2026-07-18,B,125,0.0401
2026-07-18,C,150,0.0344
2026-07-19,A,100,0.0458
2026-07-19,B,125,0.0399
2026-07-19,C,150,0.035
2026-07-20,A,100,0.0456
2026-07-20,B,125,0.0401
2026-07-20,C,150,0.0369
2026-07-21,A,100,0.0467
2026-07-21,B,125,0.0405
2026-07-21,C,150,0.0352
2026-07-22,A,100,0.0443
2026-07-22,B,125,0.0404
2026-07-22,C,150,0.0346
2026-07-23,A,100,0.044
2026-07-23,B,125,0.0416
2026-07-23,C,150,0.0344
2026-07-24,A,100,0.0454
2026-07-24,B,125,0.0402
2026-07-24,C,150,0.0386
2026-07-25,A,100,0.0449
2026-07-25,B,125,0.038
2026-07-25,C,150,0.033
2026-07-26,A,100,0.0472
2026-07-26,B,125,0.0429
2026-07-26,C,150,0.0342
2026-07-27,A,100,0.0481
2026-07-27,B,125,0.0421
2026-07-27,C,150,0.0348
2026-07-28,A,100,0.0456
2026-07-28,B,125,0.0413
2026-07-28,C,150,0.0361
2026-07-29,A,100,0.0466
2026-07-29,B,125,0.04
2026-07-29,C,150,0.0348
2026-07-30,A,100,0.0492
2026-07-30,B,125,0.0414
2026-07-30,C,150,0.0361
2026-07-31,A,100,0.0469
2026-07-31,B,125,0.0414
2026-07-31,C,150,0.0351
2026-08-01,A,100,0.0474
2026-08-01,B,125,0.042
2026-08-01,C,150,0.0353
2026-08-02,A,100,0.0449
2026-08-02,B,125,0.0416
2026-08-02,C,150,0.0349
2026-08-03,A,100,0.0455
2026-08-03,B,125,0.0448
2026-08-03,C,150,0.0331
2026-08-04,A,100,0.0475
2026-08-04,B,125,0.0398
2026-08-04,C,150,0.0352
2026-08-05,A,100,0.0501
2026-08-05,B,125,0.0396
2026-08-05,C,150,0.0341
2026-08-06,A,100,0.046
2026-08-06,B,125,0.0398
2026-08-06,C,150,0.0361
2026-08-07,A,100,0.0451
2026-08-07,B,125,0.0419
2026-08-07,C,150,0.0334
2026-08-08,A,100,0.0431
2026-08-08,B,125,0.0407
2026-08-08,C,150,0.0331
2026-08-09,A,100,0.0484
2026-08-09,B,125,0.0388
2026-08-09,C,150,0.0337
2026-08-10,A,100,0.0467
2026-08-10,B,125,0.0402
2026-08-10,C,150,0.0331
2026-08-11,A,100,0.0493
2026-08-11,B,125,0.0396
2026-08-11,C,150,0.0348
2026-08-12,A,100,0.0457
2026-08-12,B,125,0.042
2026-08-12,C,150,0.0356
2026-08-13,A,100,0.0447
2026-08-13,B,125,0.0405
2026-08-13,C,150,0.0347
2026-08-14,A,100,0.0472
2026-08-14,B,125,0.0393
2026-08-14,C,150,0.0375
2026-08-15,A,100,0.0448
2026-08-15,B,125,0.041
2026-08-15,C,150,0.0336
2026-08-16,A,100,0.0439
2026-08-16,B,125,0.0397
2026-08-16,C,150,0.0338
2026-08-17,A,100,0.0453
2026-08-17,B,125,0.0396
2026-08-17,C,150,0.0359
2026-08-18,A,100,0.0447
2026-08-18,B,125,0.0397
2026-08-18,C,150,0.0345
2026-08-19,A,100,0.0476
2026-08-19,B,125,0.0413
2026-08-19,C,150,0.0349
2026-08-20,A,100,0.0437
2026-08-20,B,125,0.0394
2026-08-20,C,150,0.0334
2026-08-21,A,100,0.0481
2026-08-21,B,125,0.0418
2026-08-21,C,150,0.0339
2026-08-22,A,100,0.0451
2026-08-22,B,125,0.0398
2026-08-22,C,150,0.0339
2026-08-23,A,100,0.0467
2026-08-23,B,125,0.0406
2026-08-23,C,150,0.0375
2026-08-24,A,100,0.048
2026-08-24,B,125,0.0429
2026-08-24,C,150,0.0358
2026-08-25,A,100,0.0453
2026-08-25,B,125,0.0419
2026-08-25,C,150,0.0346
2026-08-26,A,100,0.0486
2026-08-26,B,125,0.0416
2026-08-26,C,150,0.0353
2026-08-27,A,100,0.0462
2026-08-27,B,125,0.0435
2026-08-27,C,150,0.0332
2026-08-28,A,100,0.049
2026-08-28,B,125,0.0407
2026-08-28,C,150,0.0333
2026-08-20,X-200,180,0.0205
2026-08-21,X-200,180,0.0187
2026-08-22,X-200,180,0.0233
2026-08-23,X-200,180,0.0199
2026-08-24,X-200,180,0.0223
2026-08-25,X-200,180,0.0243
2026-08-26,X-200,180,0.0207
2026-08-27,X-200,180,0.0215
2026-08-28,X-200,180,0.0194
